Month,Season,Product type,Price,Availability,Number of products sold,Customer demographics,Stock levels,Lead times,Order quantities,Shipping times,Shipping costs,Production volumes,Manufacturing lead time,Manufacturing costs,Inspection results,Defect rates,Transportation modes,Routes,Costs,Location,Seasonal_Factor,Correct_Revenue
2,Winter,skincare,106.32,39,1459,Male,64,11,184,4,10.96,1171,35,76.04,Pass,0.131,Rail,Route C,207.47,Chennai,0.9,139608.79
8,Rainy,skincare,143.94,63,717,Non-binary,310,9,181,9,24.72,968,7,100.7,Pending,0.1,Air,Route C,183.21,Hyderabad,0.95,98044.73
4,Summer,skincare,149.61,35,1897,Female,277,4,125,12,21.75,1415,6,27.56,Pass,0.058,Road,Route A,94.4,Delhi,1.1,312191.19
2,Winter,haircare,75.03,40,1143,Female,322,17,260,6,10.43,845,22,113.93,Fail,0.248,Rail,Route C,123.76,Mumbai,0.9,77183.36
6,Rainy,haircare,101.88,34,539,Female,278,19,16,2,22.72,964,18,115.25,Pending,0.169,Road,Route B,183.81,Mumbai,0.95,52167.65
6,Rainy,skincare,132.75,58,1367,Non-binary,265,10,206,5,19.62,667,6,106.35,Fail,0.128,Rail,Route C,206.03,Hyderabad,0.95,172395.79
10,Festive,skincare,44.1,61,1367,Non-binary,259,13,284,9,18.95,646,28,36.1,Pass,0.162,Rail,Route A,222.64,Kolkata,1.3,78370.11
4,Summer,haircare,112.75,80,1070,Non-binary,432,2,42,14,3.14,1042,6,20.33,Pass,0.127,Road,Route B,132.04,Chennai,1.1,132706.75
6,Rainy,haircare,79.06,23,491,Non-binary,147,9,161,9,3.5,436,28,109.85,Pass,0.189,Sea,Route A,132.67,Delhi,0.95,36877.54
2,Winter,haircare,54.74,43,823,Female,221,7,32,3,18.29,953,18,50.71,Pending,0.054,Air,Route B,128.48,Delhi,0.9,40545.92
10,Festive,skincare,78.33,22,835,Female,295,10,264,10,9.13,1496,5,56.3,Pending,0.247,Rail,Route C,112.59,Delhi,1.3,85027.22
12,Festive,skincare,39.12,20,1988,Male,437,12,95,11,4.29,1499,15,67.03,Fail,0.074,Road,Route B,239.5,Delhi,1.3,101101.73
2,Winter,haircare,113.45,32,1385,Non-binary,226,11,190,2,9.29,1293,19,51.76,Pass,0.1,Air,Route C,58.02,Mumbai,0.9,141415.43
10,Festive,skincare,60.33,73,319,Female,59,4,158,11,21.43,1357,12,79.48,Fail,0.242,Sea,Route B,44.3,Bangalore,1.3,25018.85
4,Summer,skincare,67.37,59,1131,Female,384,12,111,9,13.35,974,33,60.34,Pass,0.064,Road,Route B,218.21,Kolkata,1.1,83815.02
8,Rainy,skincare,44.53,30,545,Female,340,12,100,9,16.54,837,34,93.17,Pass,0.042,Sea,Route C,88.39,Delhi,0.95,23055.41
7,Rainy,skincare,133.76,61,113,Female,365,8,46,14,20.61,1296,29,23.19,Pending,0.156,Road,Route C,52.49,Kolkata,0.95,14359.14
12,Festive,skincare,89.21,23,486,Female,338,14,58,7,10.11,386,7,40.51,Pending,0.241,Road,Route A,77.8,Chennai,1.3,56362.88
9,Rainy,skincare,98.66,44,741,Female,75,7,48,2,3.25,1151,5,111.47,Pass,0.248,Road,Route B,81.06,Hyderabad,0.95,69451.71
8,Rainy,skincare,98.33,55,1145,Non-binary,179,3,39,13,10.11,213,31,24.53,Pass,0.06,Rail,Route A,149.7,Hyderabad,0.95,106958.46
5,Summer,haircare,79.26,83,324,Male,341,19,52,14,24.05,274,28,67.75,Pass,0.076,Air,Route C,44.06,Delhi,1.1,28248.26
2,Winter,haircare,53.1,63,334,Male,115,14,215,10,13.61,1350,28,38.14,Fail,0.197,Road,Route B,84.23,Delhi,0.9,15961.86
5,Summer,haircare,119.42,59,1464,Non-binary,444,19,235,11,15.54,86,7,97.89,Fail,0.039,Rail,Route B,110.83,Chennai,1.1,192313.97
8,Rainy,haircare,45.25,64,1099,Female,432,10,41,4,19.73,1043,5,71.97,Fail,0.081,Rail,Route C,93.53,Delhi,0.95,47243.26
10,Festive,haircare,42.46,27,810,Non-binary,135,12,135,2,5.53,1435,11,91.87,Pending,0.138,Air,Route A,194.51,Delhi,1.3,44710.38
9,Rainy,haircare,115.22,54,1257,Female,231,18,104,8,19.15,835,26,102.95,Pass,0.06,Sea,Route A,43.28,Chennai,0.95,137589.96
12,Festive,haircare,55.06,63,1301,Female,106,19,11,14,9.55,506,15,95.11,Fail,0.006,Road,Route C,155.97,Chennai,1.3,93122.98
12,Festive,haircare,66.81,37,1679,Female,326,18,108,11,11.54,1270,8,60.92,Fail,0.005,Road,Route C,162.94,Mumbai,1.3,145826.19
12,Festive,haircare,87.03,66,1643,Female,287,13,32,6,8.93,125,22,65.51,Fail,0.243,Air,Route A,181.45,Kolkata,1.3,185887.38
9,Rainy,skincare,83.92,44,891,Female,63,17,227,3,6.38,810,15,85.5,Pending,0.121,Air,Route A,212.28,Delhi,0.95,71034.08
1,Winter,skincare,115.03,60,1662,Non-binary,413,6,231,14,10.95,1385,37,94.82,Pending,0.243,Rail,Route A,131.86,Chennai,0.9,172061.87
9,Rainy,haircare,104.81,24,536,Non-binary,102,16,81,2,5.08,563,6,57.21,Pending,0.095,Rail,Route A,52.97,Chennai,0.95,53369.25
7,Rainy,skincare,107.33,83,1174,Male,477,18,176,7,21.59,321,27,97.82,Fail,0.205,Air,Route C,145.48,Bangalore,0.95,119705.15
9,Rainy,skincare,115.69,81,1566,Female,230,9,234,2,9.73,725,29,20.49,Pending,0.035,Air,Route C,195.41,Kolkata,0.95,172112.01
8,Rainy,haircare,65.11,91,680,Non-binary,365,13,147,7,17.38,148,13,111.21,Pending,0.014,Sea,Route A,60.39,Bangalore,0.95,42061.06
1,Winter,haircare,68.68,22,1404,Non-binary,491,4,219,2,9.53,1157,24,79.58,Pass,0.088,Rail,Route B,202.07,Delhi,0.9,86784.05
12,Festive,haircare,82.56,56,1167,Female,28,13,121,8,7.64,339,13,76.56,Fail,0.01,Sea,Route A,72.69,Chennai,1.3,125251.78
8,Rainy,skincare,66.9,60,786,Female,432,3,237,8,18.7,147,19,76.12,Pass,0.122,Road,Route B,218.92,Delhi,0.95,49954.23
8,Rainy,skincare,148.19,39,1754,Non-binary,176,4,242,11,16.73,1310,38,23.99,Pending,0.16,Air,Route A,46.43,Hyderabad,0.95,246929.0
11,Festive,haircare,127.69,86,464,Female,367,19,59,5,7.8,420,19,114.94,Pending,0.029,Air,Route C,130.7,Hyderabad,1.3,77022.61
3,Summer,skincare,49.76,59,368,Non-binary,208,1,245,8,16.47,1224,37,96.41,Pass,0.106,Sea,Route C,81.9,Mumbai,1.1,20142.85
1,Winter,skincare,30.67,96,1816,Male,400,1,266,14,3.11,1362,26,91.58,Pending,0.228,Sea,Route A,145.59,Kolkata,0.9,50127.05
8,Rainy,skincare,35.13,27,1688,Female,339,9,209,9,6.89,696,17,90.11,Fail,0.141,Road,Route C,175.1,Delhi,0.95,56334.47
3,Summer,haircare,59.29,24,1416,Male,150,3,206,9,19.01,1124,18,74.36,Fail,0.124,Sea,Route B,167.47,Hyderabad,1.1,92350.1
3,Summer,skincare,43.71,44,1826,Male,234,3,10,13,12.02,734,19,82.27,Pending,0.161,Sea,Route B,173.91,Kolkata,1.1,87795.91
1,Winter,skincare,94.0,58,1317,Male,134,18,292,13,7.48,501,37,112.44,Fail,0.222,Sea,Route A,245.08,Chennai,0.9,111418.2
11,Festive,skincare,132.96,56,1494,Female,142,2,198,13,14.13,1121,7,56.05,Fail,0.201,Sea,Route A,97.0,Hyderabad,1.3,258234.91
5,Summer,skincare,118.41,24,1675,Male,407,11,134,4,13.23,675,11,79.77,Pending,0.063,Sea,Route C,61.83,Delhi,1.1,218170.42
10,Festive,skincare,55.87,27,177,Non-binary,458,9,185,9,16.95,1456,9,59.04,Pending,0.008,Road,Route C,217.43,Bangalore,1.3,12855.69
7,Rainy,skincare,77.92,23,288,Non-binary,417,2,288,14,4.6,1152,30,31.87,Fail,0.074,Road,Route A,243.96,Mumbai,0.95,21318.91
10,Festive,skincare,90.95,60,1730,Female,377,4,148,4,21.03,1404,6,34.45,Pending,0.225,Sea,Route A,160.06,Hyderabad,1.3,204546.55
9,Rainy,haircare,127.22,79,1513,Female,352,9,111,14,4.28,816,5,26.46,Pass,0.11,Road,Route C,237.56,Bangalore,0.95,182859.67
12,Festive,haircare,130.69,73,1148,Male,431,14,296,12,12.98,374,8,59.0,Pending,0.187,Air,Route A,219.85,Mumbai,1.3,195041.76
7,Rainy,skincare,139.17,41,1738,Female,338,19,156,6,18.63,1265,32,54.92,Pending,0.194,Rail,Route B,218.03,Mumbai,0.95,229783.59
9,Rainy,haircare,91.11,97,1425,Non-binary,442,16,282,2,10.59,831,14,32.38,Pass,0.154,Road,Route A,227.57,Kolkata,0.95,123340.16
8,Rainy,skincare,113.31,38,770,Non-binary,383,14,21,13,23.02,995,19,64.91,Pending,0.047,Rail,Route A,165.88,Delhi,0.95,82886.26
12,Festive,skincare,43.42,96,457,Non-binary,211,15,152,8,19.62,1433,22,41.3,Fail,0.13,Road,Route C,96.0,Delhi,1.3,25795.82
2,Winter,skincare,97.83,87,1843,Female,463,18,176,11,12.37,954,16,30.12,Fail,0.118,Road,Route C,47.29,Chennai,0.9,162270.62
1,Winter,haircare,59.84,52,1058,Non-binary,167,15,278,9,7.04,93,12,52.19,Fail,0.16,Air,Route C,160.37,Hyderabad,0.9,56979.65
7,Rainy,skincare,81.81,41,1982,Female,47,19,103,5,3.96,266,5,87.43,Pending,0.209,Rail,Route A,242.81,Hyderabad,0.95,154040.05
7,Rainy,skincare,106.09,84,1217,Male,143,9,115,8,20.64,1129,39,23.72,Fail,0.008,Sea,Route B,104.16,Mumbai,0.95,122655.95
8,Rainy,haircare,60.84,30,1959,Non-binary,499,16,284,8,7.27,1027,10,88.61,Pending,0.082,Rail,Route C,176.39,Bangalore,0.95,113226.28
5,Summer,haircare,36.26,35,1674,Male,417,17,210,7,8.93,1084,20,34.27,Fail,0.188,Sea,Route B,80.26,Bangalore,1.1,66769.16
3,Summer,skincare,31.23,87,435,Non-binary,96,10,101,6,3.23,406,25,110.87,Fail,0.206,Sea,Route C,49.55,Delhi,1.1,14943.56
12,Festive,haircare,32.66,63,1287,Non-binary,94,5,245,11,3.4,528,17,29.76,Fail,0.045,Air,Route A,93.2,Bangalore,1.3,54643.45
8,Rainy,haircare,31.0,28,1002,Non-binary,377,9,69,5,8.07,943,10,39.14,Pass,0.089,Air,Route B,206.56,Chennai,0.95,29508.9
6,Rainy,skincare,43.24,91,440,Male,205,14,244,6,22.2,618,33,42.76,Pending,0.125,Sea,Route A,241.32,Hyderabad,0.95,18074.32
11,Festive,skincare,58.74,97,933,Non-binary,58,10,193,8,20.18,154,6,86.35,Pending,0.145,Road,Route C,88.04,Hyderabad,1.3,71245.75
3,Summer,skincare,56.55,98,666,Male,253,1,242,9,19.94,670,8,101.11,Pending,0.099,Rail,Route A,129.08,Hyderabad,1.1,41428.53
1,Winter,haircare,148.42,81,171,Female,267,3,136,5,21.19,904,24,72.95,Fail,0.178,Road,Route C,70.87,Bangalore,0.9,22841.84
3,Summer,haircare,66.72,34,1165,Non-binary,461,16,110,6,7.11,599,12,94.42,Fail,0.113,Air,Route B,209.39,Hyderabad,1.1,85501.68
5,Summer,haircare,45.29,25,510,Non-binary,418,5,144,12,24.54,681,6,108.75,Pass,0.083,Road,Route B,140.98,Hyderabad,1.1,25407.69
3,Summer,skincare,95.47,20,997,Male,348,13,242,7,8.11,56,8,81.06,Fail,0.106,Road,Route B,208.36,Mumbai,1.1,104701.95
1,Winter,haircare,132.95,39,937,Non-binary,150,5,77,12,6.3,979,22,51.04,Fail,0.042,Rail,Route A,193.82,Chennai,0.9,112116.74
5,Summer,haircare,111.37,55,743,Female,24,11,96,10,9.48,691,37,35.31,Fail,0.036,Sea,Route A,126.78,Kolkata,1.1,91022.7
10,Festive,skincare,65.53,21,120,Non-binary,367,17,245,11,14.67,93,14,78.87,Pending,0.156,Air,Route A,100.02,Bangalore,1.3,10222.68
7,Rainy,skincare,97.39,89,1124,Female,445,3,117,7,5.74,1267,22,103.64,Fail,0.103,Rail,Route B,51.28,Hyderabad,0.95,103993.04
7,Rainy,skincare,115.78,21,777,Female,418,6,146,8,19.25,711,23,39.04,Fail,0.235,Air,Route C,238.74,Mumbai,0.95,85463.01
11,Festive,haircare,117.37,22,1695,Non-binary,278,16,274,9,11.17,297,35,119.95,Pending,0.085,Rail,Route A,74.16,Bangalore,1.3,258624.8
9,Rainy,skincare,109.98,26,1199,Non-binary,264,2,72,4,15.51,86,19,32.71,Fail,0.161,Sea,Route B,59.02,Chennai,0.95,125272.72
10,Festive,haircare,134.5,83,702,Female,438,5,239,6,19.15,1386,38,23.91,Fail,0.175,Air,Route C,187.92,Delhi,1.3,122744.7
10,Festive,haircare,134.41,60,1521,Female,410,19,247,5,22.84,700,24,88.59,Pass,0.197,Road,Route C,175.13,Kolkata,1.3,265768.89
12,Festive,skincare,99.47,73,1842,Female,369,11,256,2,21.03,622,36,56.51,Fail,0.091,Road,Route B,169.32,Mumbai,1.3,238190.86
3,Summer,skincare,81.58,60,187,Non-binary,427,18,168,13,14.82,703,32,87.04,Pending,0.121,Air,Route C,234.93,Mumbai,1.1,16781.01
7,Rainy,skincare,106.99,24,1717,Male,434,3,47,5,24.81,633,30,38.1,Fail,0.196,Sea,Route C,232.99,Chennai,0.95,174516.74
1,Winter,skincare,128.19,82,116,Non-binary,97,12,253,3,14.65,126,22,38.68,Pass,0.217,Rail,Route A,191.51,Kolkata,0.9,13383.04
4,Summer,skincare,30.68,20,1452,Male,355,13,16,5,14.79,928,15,70.23,Fail,0.071,Sea,Route A,112.24,Kolkata,1.1,49002.1
4,Summer,haircare,149.04,44,1042,Male,134,9,86,3,6.49,1336,14,114.53,Pending,0.061,Road,Route C,55.35,Mumbai,1.1,170829.65
5,Summer,haircare,51.95,65,1333,Non-binary,23,9,266,14,6.27,640,6,57.54,Pending,0.085,Sea,Route A,207.6,Bangalore,1.1,76174.29
7,Rainy,haircare,86.43,34,923,Male,150,7,46,13,6.71,1498,39,27.29,Fail,0.148,Sea,Route A,137.37,Delhi,0.95,75786.15
7,Rainy,skincare,134.64,88,482,Female,246,1,75,5,16.02,789,37,93.72,Pending,0.208,Air,Route A,190.94,Hyderabad,0.95,61651.66
11,Festive,haircare,57.0,36,1688,Non-binary,147,1,109,5,12.13,1279,18,112.22,Pending,0.161,Road,Route A,108.52,Kolkata,1.3,125080.8
4,Summer,skincare,87.22,40,739,Male,28,19,270,14,11.49,143,13,56.32,Fail,0.051,Sea,Route C,51.36,Bangalore,1.1,70901.14
7,Rainy,skincare,45.91,72,1269,Female,343,3,51,12,5.81,751,11,65.71,Fail,0.013,Sea,Route A,108.5,Hyderabad,0.95,55346.8
11,Festive,haircare,77.41,74,552,Male,137,7,58,4,11.38,1259,27,115.15,Pass,0.139,Road,Route C,56.61,Kolkata,1.3,55549.42
3,Summer,haircare,51.26,29,915,Male,486,12,80,6,11.32,1191,11,94.8,Pending,0.191,Road,Route C,172.21,Bangalore,1.1,51593.19
6,Rainy,skincare,73.64,76,1516,Female,363,16,255,10,16.66,96,5,86.91,Pass,0.126,Air,Route B,134.97,Delhi,0.95,106056.33
12,Festive,haircare,74.82,84,409,Female,207,13,11,2,11.55,1200,24,32.85,Pending,0.092,Sea,Route A,199.61,Delhi,1.3,39781.79
2,Winter,skincare,149.18,56,1030,Non-binary,158,18,71,8,12.21,1151,39,78.13,Pending,0.049,Road,Route C,116.73,Mumbai,0.9,138289.86
10,Festive,haircare,149.38,26,591,Male,482,17,36,11,9.0,565,12,106.01,Fail,0.144,Road,Route C,193.27,Hyderabad,1.3,114768.65
9,Rainy,haircare,43.77,95,859,Non-binary,439,9,76,14,5.89,378,35,92.65,Pending,0.153,Rail,Route B,105.06,Hyderabad,0.95,35718.51
5,Summer,haircare,117.12,59,1553,Non-binary,144,14,154,2,9.6,402,23,31.62,Fail,0.209,Air,Route B,123.72,Hyderabad,1.1,200076.1
6,Rainy,haircare,36.21,69,100,Male,242,5,223,11,3.94,237,9,87.13,Pending,0.185,Rail,Route B,113.96,Hyderabad,0.95,3439.95
12,Festive,haircare,33.62,20,140,Male,347,11,66,13,7.48,761,38,100.48,Fail,0.129,Rail,Route B,74.79,Kolkata,1.3,6118.84
12,Festive,skincare,42.64,39,1708,Non-binary,405,6,295,13,10.15,640,20,58.17,Pending,0.202,Rail,Route A,116.36,Bangalore,1.3,94677.86
12,Festive,haircare,145.86,50,771,Female,325,6,220,2,6.2,279,11,95.41,Pass,0.028,Sea,Route C,157.41,Hyderabad,1.3,146195.48
12,Festive,haircare,142.9,87,311,Non-binary,278,8,202,3,17.63,370,25,91.23,Pending,0.06,Air,Route B,84.34,Kolkata,1.3,57774.47
4,Summer,haircare,53.27,31,1456,Male,86,1,123,11,9.18,535,29,53.25,Pass,0.188,Air,Route B,178.82,Hyderabad,1.1,85317.23
